Data_Science,Date,Tweet
0,08/04/15,Two #Mac #viruses strike at the heart of the platform's secure image  Technology  The Guardian http://t.co/vlp4sPSBWY
1,12/06/13,Simple nonlinear least squares curve fitting in #R http://t.co/GMJMpuy64S
0,09/08/15,A Meteor Exploded Over Bangkok on Monday Morning  http://t.co/qkR1xJbHdW
1,26/11/13,Book review: Practical Data Analysis http://t.co/jZTzaJG9Nn
1,17/12/15,RStudio Clone for #Python   Rodeo https://t.co/6u87YJpZPj
0,25/12/15,Xmas dinner is in the oven!
0,08/06/15,An Orphaned Kangaroo Joey Returns to His Former Home to Give a Big Hug to a Plush Teddy Bear http://t.co/xbHWmYoFOK
0,12/02/15,Was fuer eine gute Idee!  https://t.co/m5R3vP8WNV
0,11/03/15,"Jeni Tennison challenging us to look at what a post-Google, post-Facebook landscape would look like. We don't need to copy the Valley......"
1,19/02/14,Better way to make sense of 'Big Data?' http://t.co/EGfaRw62zu
1,11/08/13,Robot trade fair opens in Japan - video http://t.co/xNSqHaExkN
0,13/08/15,Loving Dad Designs Star Wars Themed Corrective Helmets For His Son's Year Long Recovery From Cranial Surgery http://t.co/mxeJHlVl2E
1,01/12/14,An Animation of the Construction of a Confidence Interval - Publishable Stuff http://t.co/DCorrIUeta
1,12/12/15,Rise of Robots article https://t.co/yHWXXAcrxx https://t.co/YDhRrZVHMm
1,26/02/14,"@albertocairo true, but I would argue they go hand in hand. There may be some for whom the raw data says not a lot And vice versa"
1,24/04/14,A Weekend With Julia: An R User's Reflections http://t.co/bXX2rqKCto
1,18/12/13,Data scientist surpasses statistician on Google Trends http://t.co/jeMwrraqty
0,11/08/15,Coming from seeing The Lobster. A dark but interesting and amusing film with Colin Farrell and Rachel Weisz https://t.co/0PElvzqwcA
0,09/11/15,Happy to see that the #BBC pursues lines of enquiry and cross examinations as that shown by @mrjamesob in tonight's #newsnight
0,20/10/15,Back to the Future II: What did it get right and wrong? https://t.co/DwdzEMv6h9
1,11/12/15,"""#MachineLearning could solve riddles of galaxy formation"" #physics https://t.co/ZVGzclxYT8"
1,15/05/14,The time when banks main raison-d'etre was to stash gold in a vault is long gone. #bigdatadebate @bigdatadebate
0,25/10/15,"There you go! #AusvArg is on! As much as I would love Argentina to be in the final, I am supporting #Australia #OfficeSweepstake"
0,25/10/15,@firoozye perhaps the people from Level 39 have some
0,18/10/15,@quantum_tunnel: Yay! Just connected automatically to the eduroam at University of Michigan. Great!
0,19/12/15,@R_Trotta true. I mean the would not do that at a cinema when arriving late. And they also paid! It is the entitlement that feel they have!
0,12/02/15,Report Cards for Famous Mathematicians #maths  https://t.co/no4Usx6djV
1,31/01/14,Princeton's guide to linear modeling and logistic regression with R http://t.co/fW7pSgTWGj
